2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
EIF1AX	0.620409982174688	0.471287504110269	0.483197837077724	0.423872053591199	NA	NA	0.6625	0.602703984819734	0.399782773976322	NA	NA	0.302857142857143	0.396107070525675	NA	0.419510320597277	0.513071895424837	NA	NA	0.48968070293117	0.502527493321643	NA	0.605758995103257
EIF2S3	NA	NA	NA	0.364882177691074	NA	NA	0.292873265514157	NA	NA	0.223927369961818	0.206518445322793	NA	NA	NA	NA	0.483294930875576	NA	0.277168179203936	0.278236285413858	NA	0.593161067589062	0.52551724137931
ELF4	NA	NA	0.269662921348315	NA	NA	0.172413793103448	NA	0.064	0.185929648241206	0.117370892018779	0.0233918128654971	0.152542372881356	NA	NA	NA	NA	NA	NA	NA	NA	0.219585470532817	NA
ERCC6L	NA	NA	NA	NA	NA	NA	0.277777777777778	NA	NA	NA	NA	0.123737373737373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.214285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAAH2	NA	NA	0.625	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.238095238095238	0.274743617134922
FAM104B	NA	NA	NA	NA	NA	NA	NA	NA	0.230769230769231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.214285714285714
FAM199X	NA	NA	0.45	NA	NA	0.260869565217391	0.272727272727273	NA	0.125	NA	NA	0.114224137931035	NA	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	NA
FAM3A	NA	NA	0.2875	NA	NA	NA	NA	0.13986013986014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM50A	NA	NA	NA	0.189189189189189	NA	0.183673469387755	NA	NA	0.194029850746269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FANCB	NA	NA	0.214285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.348837209302326
FHL1	0.2	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLNA	NA	NA	NA	0.117647058823529	NA	0.16095947063689	NA	0.428571428571429	0.173008486175746	NA	0.0387869364043257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.256115107913669
FMR1	NA	NA	0.423076923076924	NA	NA	0.212946817785527	0.342857142857143	0.06	NA	NA	NA	0.0652173913043478	NA	NA	NA	NA	NA	NA	NA	NA	0.2	NA
FTX	NA	NA	NA	NA	NA	NA	NA	NA	0.333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FUNDC1	NA	NA	NA	NA	NA	0.224137931034483	NA	NA	NA	NA	NA	0.421052631578947	NA	NA	NA	NA	NA	NA	NA	0.303370786516854	NA	NA
G6PD	NA	NA	NA	NA	NA	NA	NA	0.0962962962962963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDI1	NA	NA	NA	0.123655913978495	NA	0.173333333333333	NA	NA	0.253644314868805	NA	0.021671826625387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GEMIN8	NA	0.169491525423729	1	NA	NA	NA	NA	0.277777777777778	0.818181818181818	0.173333333333333	NA	0.16	0.2	0.307692307692308	0.0943396226415094	NA	NA	NA	NA	NA	NA	NA
GK	NA	NA	0.333333333333333	NA	NA	0.266604010025063	0.314935064935065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLA	NA	NA	NA	0.232142857142857	NA	NA	NA	NA	NA	0.1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNL3L	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPKOW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.108108108108108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR174	NA	NA	0.287774725274725	0.166666666666667	0.103448275862069	0.272727272727273	0.287608051670552	NA	0.714285714285714	0.263324736728992	0.0833333333333333	0.274635865024881	NA	NA	NA	NA	0.142857142857143	NA	0.16071390962796	NA	0.138888888888889	0.192982456140351
GRIPAP1	NA	NA	0.268518518518519	NA	NA	NA	0.129310344827586	0.0769230769230769	0.283783783783784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.221374045801527	0.244444444444444
GSPT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA
